category,factor_id,geography,iso3,subcategory,activity,variant,technology_fuel_material,destination_origin_supplier,input_unit,activity_year,activity_year_scope,factor_year,factor_value,factor_unit,temporal_type,factor_version,source,source_detail,source_url,is_temporal_fallback,is_geographic_proxy,quality_status,notes,source_workbook,source_sheet
Residuos,RES_5E98DC6E58B5E7,España,,Plástico (envases),Plástico (envases),,,Gestión municipal (envases ligeros),kg,2026,,,0.12009,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=13,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_DB7F4994F2FDD7,España,,Metal (envases),Metal (envases),,,Gestión municipal (envases ligeros),kg,2022,,,0.12009,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=14,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_F2C4EE4C4D4164,España,,Metal (envases),Metal (envases),,,Gestión municipal (envases ligeros),kg,2023,,,0.12009,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=14,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_E947C3D7B9B806,España,,Metal (envases),Metal (envases),,,Gestión municipal (envases ligeros),kg,2024,,,0.12009,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=14,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_6EE8AA6F449F1D,España,,Metal (envases),Metal (envases),,,Gestión municipal (envases ligeros),kg,2025,,,0.12009,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=14,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_75FB1259509CB4,España,,Metal (envases),Metal (envases),,,Gestión municipal (envases ligeros),kg,2026,,,0.12009,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=14,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_E98AB25AAE9CC7,España,,Papel y cartón,Papel y cartón,,,Gestión municipal (mezcla real),kg,2022,,,0.05641,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=15,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_754698C02D517A,España,,Papel y cartón,Papel y cartón,,,Gestión municipal (mezcla real),kg,2023,,,0.05641,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=15,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_C90C1E5FB60F0A,España,,Papel y cartón,Papel y cartón,,,Gestión municipal (mezcla real),kg,2024,,,0.05641,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=15,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_344889D5C32277,España,,Papel y cartón,Papel y cartón,,,Gestión municipal (mezcla real),kg,2025,,,0.05641,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=15,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_0B6854DC9887EE,España,,Papel y cartón,Papel y cartón,,,Gestión municipal (mezcla real),kg,2026,,,0.05641,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=15,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_B02A8518A10A22,España,,Vidrio,Vidrio,,,Gestión municipal (envases de vidrio),kg,2022,,,0.0305,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=16,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_21E5246C119E89,España,,Vidrio,Vidrio,,,Gestión municipal (envases de vidrio),kg,2023,,,0.0305,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=16,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_8FD06F7D62CCCC,España,,Vidrio,Vidrio,,,Gestión municipal (envases de vidrio),kg,2024,,,0.0305,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=16,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_E96DBA08949472,España,,Vidrio,Vidrio,,,Gestión municipal (envases de vidrio),kg,2025,,,0.0305,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=16,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_23C83A78F377BA,España,,Vidrio,Vidrio,,,Gestión municipal (envases de vidrio),kg,2026,,,0.0305,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=16,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_6BA1B6BE0EFC82,España,,Resto (mezcla),Resto (mezcla),,,Gestión municipal (fracción resto),kg,2022,,,0.71647,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=17,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_CE44D0E5D2EAC2,España,,Resto (mezcla),Resto (mezcla),,,Gestión municipal (fracción resto),kg,2023,,,0.71647,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=17,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_D4A9191CF7FB35,España,,Resto (mezcla),Resto (mezcla),,,Gestión municipal (fracción resto),kg,2024,,,0.71647,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=17,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_8020DFAF1EDE10,España,,Resto (mezcla),Resto (mezcla),,,Gestión municipal (fracción resto),kg,2025,,,0.71647,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=17,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_4A9ACA6A1414EC,España,,Resto (mezcla),Resto (mezcla),,,Gestión municipal (fracción resto),kg,2026,,,0.71647,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=17,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
