category,factor_id,geography,iso3,subcategory,activity,variant,technology_fuel_material,destination_origin_supplier,input_unit,activity_year,activity_year_scope,factor_year,factor_value,factor_unit,temporal_type,factor_version,source,source_detail,source_url,is_temporal_fallback,is_geographic_proxy,quality_status,notes,source_workbook,source_sheet
Materiales y productos,MAT_9D6520795BB32F,TODOS,,Madera,Madera,,,Reutilizado,kg,2023,,2023,0.03854,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_MADERAS_CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,MADERA_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_55E31E9E4A14DF,TODOS,,Madera,Madera,,,Reutilizado,kg,2024,,2024,0.03854,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_MADERAS_CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,MADERA_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_369B60C86C5E40,TODOS,,Madera,Madera,,,Reutilizado,kg,2025,,2025,0.03854288,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_MADERAS_CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,MADERA_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_127F94FD484EC3,TODOS,,Madera,Madera,,,Reutilizado,kg,2026,,2026,0.03854288,kgCO2e/kg,ANNUAL,DEFRA 2026,CATEGORÍA MATERIALES Y PRODUCTOS_MADERAS_CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,MADERA_FE · FE explícito,,FALSE,FALSE,,DEFRA 2026 exacto; se corrige la cabecera temporal de la referencia.,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_B1C3066BD61A10,TODOS,,"Metal para estructuras (perfiles, rieles)","Metal para estructuras (perfiles, rieles)",,,Producción de materia prima,kg,2022,,2022,4.005137774724,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_METAL PARA ESTRUCTURAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,METAL_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_A133792620C240,TODOS,,"Metal para estructuras (perfiles, rieles)","Metal para estructuras (perfiles, rieles)",,,Producción de materia prima,kg,2023,,2023,3.81578473,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_METAL PARA ESTRUCTURAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,METAL_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_DC4EF4E5277224,TODOS,,"Metal para estructuras (perfiles, rieles)","Metal para estructuras (perfiles, rieles)",,,Producción de materia prima,kg,2024,,2024,3.82409335,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_METAL PARA ESTRUCTURAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,METAL_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_E6C3BD50B06DD2,TODOS,,"Metal para estructuras (perfiles, rieles)","Metal para estructuras (perfiles, rieles)",,,Producción de materia prima,kg,2025,,2025,3.82194858,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_METAL PARA ESTRUCTURAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,METAL_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_F13DACEB012F66,TODOS,,"Metal para estructuras (perfiles, rieles)","Metal para estructuras (perfiles, rieles)",,,Producción de materia prima,kg,2026,,2026,3.82194858,kgCO2e/kg,ANNUAL,DEFRA 2026,CATEGORÍA MATERIALES Y PRODUCTOS_METAL PARA ESTRUCTURAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,METAL_FE · FE explícito,,FALSE,FALSE,,DEFRA 2026 exacto; se corrige la cabecera temporal de la referencia.,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_D80601B78886CC,TODOS,,"Metal para estructuras (perfiles, rieles)","Metal para estructuras (perfiles, rieles)",,,Reciclado (Circuito cerrado),kg,2022,,2022,1.55894893966345,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_METAL PARA ESTRUCTURAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,METAL_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
