activity_year,country,iso3,stars,dataset,dataset_calendar_year,tool_version,factor_value,factor_unit,method,sample_count,is_temporal_fallback,is_geographic_proxy,source,source_url
2022,Azerbaiyán,AZE,4,CHSB 2024v2,2022,Greenview CHSB public dataset,37.703218,kgCO2e/occupied room-night,GLOBAL_STAR_FALLBACK,2205,False,True,Greenview / Cornell Hotel Sustainability Benchmarking Index,https://greenview.sg/resources/chsb-index/
2022,Azerbaiyán,AZE,5,CHSB 2024v2,2022,Greenview CHSB public dataset,78.970495,kgCO2e/occupied room-night,GLOBAL_STAR_FALLBACK,887,False,True,Greenview / Cornell Hotel Sustainability Benchmarking Index,https://greenview.sg/resources/chsb-index/
2022,Azerbaiyán,AZE,unknown,CHSB 2024v2,2022,Greenview CHSB public dataset,25.514392,kgCO2e/occupied room-night,GLOBAL_UNKNOWN_FALLBACK,10183,False,True,Greenview / Cornell Hotel Sustainability Benchmarking Index,https://greenview.sg/resources/chsb-index/
2022,Bahamas,BHS,2,CHSB 2024v2,2022,Greenview CHSB public dataset,14.037051,kgCO2e/occupied room-night,GLOBAL_STAR_FALLBACK,2777,False,True,Greenview / Cornell Hotel Sustainability Benchmarking Index,https://greenview.sg/resources/chsb-index/
2022,Bahamas,BHS,3,CHSB 2024v2,2022,Greenview CHSB public dataset,19.102623,kgCO2e/occupied room-night,GLOBAL_STAR_FALLBACK,4306,False,True,Greenview / Cornell Hotel Sustainability Benchmarking Index,https://greenview.sg/resources/chsb-index/
2022,Bahamas,BHS,4,CHSB 2024v2,2022,Greenview CHSB public dataset,37.703218,kgCO2e/occupied room-night,GLOBAL_STAR_FALLBACK,2205,False,True,Greenview / Cornell Hotel Sustainability Benchmarking Index,https://greenview.sg/resources/chsb-index/
2022,Bahamas,BHS,5,CHSB 2024v2,2022,Greenview CHSB public dataset,78.970495,kgCO2e/occupied room-night,GLOBAL_STAR_FALLBACK,887,False,True,Greenview / Cornell Hotel Sustainability Benchmarking Index,https://greenview.sg/resources/chsb-index/
2022,Bahamas,BHS,unknown,CHSB 2024v2,2022,Greenview CHSB public dataset,25.514392,kgCO2e/occupied room-night,GLOBAL_UNKNOWN_FALLBACK,10183,False,True,Greenview / Cornell Hotel Sustainability Benchmarking Index,https://greenview.sg/resources/chsb-index/
2022,Bangladés,BGD,2,CHSB 2024v2,2022,Greenview CHSB public dataset,14.037051,kgCO2e/occupied room-night,GLOBAL_STAR_FALLBACK,2777,False,True,Greenview / Cornell Hotel Sustainability Benchmarking Index,https://greenview.sg/resources/chsb-index/
2022,Bangladés,BGD,3,CHSB 2024v2,2022,Greenview CHSB public dataset,19.102623,kgCO2e/occupied room-night,GLOBAL_STAR_FALLBACK,4306,False,True,Greenview / Cornell Hotel Sustainability Benchmarking Index,https://greenview.sg/resources/chsb-index/
